schemaVersion,source.name,source.url,collectedAt,recordType,content.company,content.date,content.is_remote,content.role_family,content.title
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/buesken-strategy-consulting/kreditsachbearbeiter-firmenkredite-frankfurt-am-main-379106,2026-08-26T14:11:09.998758Z,JOB,Buesken Strategy Consulting,2026-08-26T12:31:54Z,False,,Kreditsachbearbeiter Firmenkredite (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/datwyler-it-infra/werkstudent-in-human-resources-hr-digitalisierung-hattersheim-am-main-385445,2026-08-26T14:11:10.001001Z,JOB,Datwyler It Infra,2026-08-26T12:02:29Z,False,,Werkstudent/in Human Resources - HR-Digitalisierung (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/wabcon/teamleiterin-sicherheitstechnik-in-frankfurt-am-main-90000-120000-439116,2026-08-26T14:11:10.002841Z,JOB,Wabcon,2026-08-26T12:02:28Z,False,,"Teamleiter:in Sicherheitstechnik in Frankfurt am Main, 90.000 - 120.000"
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/lionflence/campaign-manager-artistmanagement-berlin-264233,2026-08-26T14:11:10.005095Z,JOB,Lionflence,2026-08-26T12:02:08Z,False,,Campaign Manager (m/w/d) Artistmanagement
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/luma-life/product-builder-ui-ux-designer-mobile-app-developer-hamburg-267908,2026-08-26T14:11:10.006870Z,JOB,Luma Life,2026-08-26T12:01:59Z,True,,Product Builder (UI/UX Designer & Mobile App Developer) - (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/finnofleet-gmbh/senior-consultant-kreditprozesse-sparkassen-melsdorf-280806,2026-08-26T14:11:10.008434Z,JOB,Finnofleet,2026-08-26T12:01:54Z,False,,(Senior) Consultant (m/w/d) Kreditprozesse Sparkassen
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hellofresh/senior-site-controller-all-genders-berlin-berlin-105742,2026-08-26T14:11:10.010021Z,JOB,Hellofresh,2026-08-26T11:55:26Z,False,,Senior Site Controller (all genders)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hellofresh/senior-security-engineer-soc-mfx-berlin-berlin-368358,2026-08-26T14:11:10.010561Z,JOB,Hellofresh,2026-08-26T11:55:26Z,False,,"Senior Security Engineer (SOC) (m,f,x)"
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hellofresh/security-engineer-soc-mfx-berlin-berlin-220853,2026-08-26T14:11:10.010994Z,JOB,Hellofresh,2026-08-26T11:55:26Z,False,,"Security Engineer (SOC) (m,f,x)"
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/hellofresh/cloud-security-engineer-mfx-berlin-berlin-373612,2026-08-26T14:11:10.011424Z,JOB,Hellofresh,2026-08-26T11:55:25Z,False,,"Cloud Security Engineer (m,f,x)"
