schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/doordash,2026-08-26T14:11:08.379317Z,STARTUP,Doordash,8600
1.0,Y Combinator,https://www.ycombinator.com/companies/airbnb,2026-08-26T14:11:08.380206Z,STARTUP,Airbnb,6132
1.0,Y Combinator,https://www.ycombinator.com/companies/coinbase,2026-08-26T14:11:08.381056Z,STARTUP,Coinbase,6112
1.0,Y Combinator,https://www.ycombinator.com/companies/groww,2026-08-26T14:11:08.381964Z,STARTUP,Groww,1050
1.0,Y Combinator,https://www.ycombinator.com/companies/instacart,2026-08-26T14:11:08.383903Z,STARTUP,Instacart,3000
1.0,Y Combinator,https://www.ycombinator.com/companies/meesho,2026-08-26T14:11:08.385055Z,STARTUP,Meesho,1450
1.0,Y Combinator,https://www.ycombinator.com/companies/oklo,2026-08-26T14:11:08.385856Z,STARTUP,Oklo,50
1.0,Y Combinator,https://www.ycombinator.com/companies/gitlab,2026-08-26T14:11:08.386959Z,STARTUP,Gitlab,2000
1.0,Y Combinator,https://www.ycombinator.com/companies/rigetti-computing,2026-08-26T14:11:08.387747Z,STARTUP,Rigetti Computing,51
1.0,Y Combinator,https://www.ycombinator.com/companies/dropbox,2026-08-26T14:11:08.388461Z,STARTUP,Dropbox,4000
1.0,Y Combinator,https://www.ycombinator.com/companies/billiontoone,2026-08-26T14:11:08.389203Z,STARTUP,Billiontoone,300
1.0,Y Combinator,https://www.ycombinator.com/companies/equipmentshare,2026-08-26T14:11:08.390042Z,STARTUP,Equipmentshare,5400
1.0,Y Combinator,https://www.ycombinator.com/companies/matterport,2026-08-26T14:11:08.391152Z,STARTUP,Matterport,201
1.0,Y Combinator,https://www.ycombinator.com/companies/amplitude,2026-08-26T14:11:08.392148Z,STARTUP,Amplitude,750
1.0,Y Combinator,https://www.ycombinator.com/companies/pagerduty,2026-08-26T14:11:08.392957Z,STARTUP,Pagerduty,950
1.0,Y Combinator,https://www.ycombinator.com/companies/weave,2026-08-26T14:11:08.393648Z,STARTUP,Weave,600
1.0,Y Combinator,https://www.ycombinator.com/companies/ginkgo-bioworks,2026-08-26T14:11:08.394345Z,STARTUP,Ginkgo Bioworks,641
1.0,Y Combinator,https://www.ycombinator.com/companies/pardes-bio,2026-08-26T14:11:08.395098Z,STARTUP,Pardes Biosciences,2
1.0,Y Combinator,https://www.ycombinator.com/companies/momentus,2026-08-26T14:11:08.395830Z,STARTUP,Momentus,125
1.0,Y Combinator,https://www.ycombinator.com/companies/embark-trucks,2026-08-26T14:11:08.396843Z,STARTUP,Embark Trucks,300
1.0,Y Combinator,https://www.ycombinator.com/companies/lucira-health,2026-08-26T14:11:08.397560Z,STARTUP,Lucira Health,43
1.0,Y Combinator,https://www.ycombinator.com/companies/segment,2026-08-26T14:11:08.398386Z,STARTUP,Segment,550
1.0,Y Combinator,https://www.ycombinator.com/companies/algolia,2026-08-26T14:11:08.399184Z,STARTUP,Algolia,810
1.0,Y Combinator,https://www.ycombinator.com/companies/truebill,2026-08-26T14:11:08.399937Z,STARTUP,Truebill,225
1.0,Y Combinator,https://www.ycombinator.com/companies/twitch,2026-08-26T14:11:08.400678Z,STARTUP,Twitch,2000
1.0,Y Combinator,https://www.ycombinator.com/companies/plangrid,2026-08-26T14:11:08.401606Z,STARTUP,Plangrid,355
1.0,Y Combinator,https://www.ycombinator.com/companies/bellabeat,2026-08-26T14:11:08.402967Z,STARTUP,Bellabeat,134
1.0,Y Combinator,https://www.ycombinator.com/companies/cruise,2026-08-26T14:11:08.403684Z,STARTUP,Cruise,3000
1.0,Y Combinator,https://www.ycombinator.com/companies/benchling,2026-08-26T14:11:08.404430Z,STARTUP,Benchling,750
1.0,Y Combinator,https://www.ycombinator.com/companies/casetext,2026-08-26T14:11:08.405145Z,STARTUP,Casetext,50
1.0,Y Combinator,https://www.ycombinator.com/companies/bird,2026-08-26T14:11:08.405818Z,STARTUP,Bird,500
1.0,Y Combinator,https://www.ycombinator.com/companies/brex,2026-08-26T14:11:08.406534Z,STARTUP,Brex,1000
1.0,Y Combinator,https://www.ycombinator.com/companies/the-athletic,2026-08-26T14:11:08.407469Z,STARTUP,The Athletic,600
1.0,Y Combinator,https://www.ycombinator.com/companies/codecademy,2026-08-26T14:11:08.409338Z,STARTUP,Codecademy,225
1.0,Y Combinator,https://www.ycombinator.com/companies/checkr,2026-08-26T14:11:08.410097Z,STARTUP,Checkr,800
1.0,Y Combinator,https://www.ycombinator.com/companies/lever,2026-08-26T14:11:08.410786Z,STARTUP,Lever,225
1.0,Y Combinator,https://www.ycombinator.com/companies/clipboard,2026-08-26T14:11:08.411479Z,STARTUP,Clipboard,1000
1.0,Y Combinator,https://www.ycombinator.com/companies/heap,2026-08-26T14:11:08.412179Z,STARTUP,Heap,388
1.0,Y Combinator,https://www.ycombinator.com/companies/sendwave,2026-08-26T14:11:08.412858Z,STARTUP,Sendwave,350
1.0,Y Combinator,https://www.ycombinator.com/companies/deel,2026-08-26T14:11:08.413504Z,STARTUP,Deel,5000
1.0,Y Combinator,https://www.ycombinator.com/companies/clever,2026-08-26T14:11:08.414174Z,STARTUP,Lever,210
1.0,Y Combinator,https://www.ycombinator.com/companies/caper,2026-08-26T14:11:08.415372Z,STARTUP,Caper,15
1.0,Y Combinator,https://www.ycombinator.com/companies/reddit,2026-08-26T14:11:08.416266Z,STARTUP,Reddit,2000
1.0,Y Combinator,https://www.ycombinator.com/companies/fivestars,2026-08-26T14:11:08.417207Z,STARTUP,Fivestars,201
1.0,Y Combinator,https://www.ycombinator.com/companies/machine-zone,2026-08-26T14:11:08.417903Z,STARTUP,Machine Zone,501
1.0,Y Combinator,https://www.ycombinator.com/companies/faire,2026-08-26T14:11:08.418603Z,STARTUP,Faire,900
1.0,Y Combinator,https://www.ycombinator.com/companies/fivetran,2026-08-26T14:11:08.419364Z,STARTUP,Fivetran,1200
1.0,Y Combinator,https://www.ycombinator.com/companies/optimizely,2026-08-26T14:11:08.420564Z,STARTUP,Optimizely,1500
1.0,Y Combinator,https://www.ycombinator.com/companies/flexport,2026-08-26T14:11:08.421333Z,STARTUP,Flexport,3000
1.0,Y Combinator,https://www.ycombinator.com/companies/wepay,2026-08-26T14:11:08.422098Z,STARTUP,Wepay,400
1.0,Y Combinator,https://www.ycombinator.com/companies/weebly,2026-08-26T14:11:08.422842Z,STARTUP,Weebly,201
1.0,Y Combinator,https://www.ycombinator.com/companies/flock-safety,2026-08-26T14:11:08.423670Z,STARTUP,Flock Safety,1000
1.0,Y Combinator,https://www.ycombinator.com/companies/sqreen,2026-08-26T14:11:08.424363Z,STARTUP,Sqreen,120
1.0,Y Combinator,https://www.ycombinator.com/companies/nurx,2026-08-26T14:11:08.425007Z,STARTUP,Nurx,300
1.0,Y Combinator,https://www.ycombinator.com/companies/go1,2026-08-26T14:11:08.425909Z,STARTUP,Go1,650
1.0,Y Combinator,https://www.ycombinator.com/companies/coreos,2026-08-26T14:11:08.426693Z,STARTUP,Coreos,150
1.0,Y Combinator,https://www.ycombinator.com/companies/bear-flag-robotics,2026-08-26T14:11:08.427516Z,STARTUP,Bear Flag Robotics,10
1.0,Y Combinator,https://www.ycombinator.com/companies/goat-group,2026-08-26T14:11:08.428205Z,STARTUP,Goat Group,1600
1.0,Y Combinator,https://www.ycombinator.com/companies/heroku,2026-08-26T14:11:08.428915Z,STARTUP,Heroku,300
1.0,Y Combinator,https://www.ycombinator.com/companies/grubmarket,2026-08-26T14:11:08.429749Z,STARTUP,Grubmarket,4548
1.0,Y Combinator,https://www.ycombinator.com/companies/hellosign,2026-08-26T14:11:08.430575Z,STARTUP,Hellosign,100
1.0,Y Combinator,https://www.ycombinator.com/companies/zenefits,2026-08-26T14:11:08.431256Z,STARTUP,Zenefits,500
1.0,Y Combinator,https://www.ycombinator.com/companies/gusto,2026-08-26T14:11:08.431924Z,STARTUP,Gusto,2400
1.0,Y Combinator,https://www.ycombinator.com/companies/honeylove,2026-08-26T14:11:08.432687Z,STARTUP,Honeylove,100
1.0,Y Combinator,https://www.ycombinator.com/companies/modern-fertility,2026-08-26T14:11:08.433868Z,STARTUP,Modern Fertility,25
1.0,Y Combinator,https://www.ycombinator.com/companies/cognito,2026-08-26T14:11:08.434661Z,STARTUP,Cognito,12
1.0,Y Combinator,https://www.ycombinator.com/companies/openinvest,2026-08-26T14:11:08.435482Z,STARTUP,Openinvest,110
1.0,Y Combinator,https://www.ycombinator.com/companies/mixpanel,2026-08-26T14:11:08.436234Z,STARTUP,Mixpanel,410
1.0,Y Combinator,https://www.ycombinator.com/companies/paystack,2026-08-26T14:11:08.436917Z,STARTUP,Paystack,115
1.0,Y Combinator,https://www.ycombinator.com/companies/moxion-power-co,2026-08-26T14:11:08.438155Z,STARTUP,Moxion Power,380
1.0,Y Combinator,https://www.ycombinator.com/companies/drchrono,2026-08-26T14:11:08.439141Z,STARTUP,Drchrono,150
1.0,Y Combinator,https://www.ycombinator.com/companies/omgpop,2026-08-26T14:11:08.440112Z,STARTUP,Omgpop,11
1.0,Y Combinator,https://www.ycombinator.com/companies/newfront-insurance,2026-08-26T14:11:08.440887Z,STARTUP,Newfront,800
1.0,Y Combinator,https://www.ycombinator.com/companies/north,2026-08-26T14:11:08.441528Z,STARTUP,North,51
1.0,Y Combinator,https://www.ycombinator.com/companies/nowports,2026-08-26T14:11:08.442283Z,STARTUP,Nowports,550
1.0,Y Combinator,https://www.ycombinator.com/companies/odeko,2026-08-26T14:11:08.443009Z,STARTUP,Odeko,371
1.0,Y Combinator,https://www.ycombinator.com/companies/gitprime,2026-08-26T14:11:08.443854Z,STARTUP,Gitprime,110
